callable_folder,function_name,backend_file,backend_line,status,connection_type,ui_evidence,dataflow_evidence,risk,recommended_action,notes
auth,verifySelectiveDisclosureProof,functions/src/callable/auth/eudiSelectiveDisclosureCallables.ts,190,reviewed,direct_ui,applicant_curriculum_verification_panel_calls_verifySelectiveDisclosureProof_with_fallback,returns_statement_and_updates_verification_counters_for_credentialProofs_and_shares,low,keep,active_recruiter_side_proof_verification_flow
compliance,exportCandidateData,functions/src/callable/compliance/complianceCallables.ts,218,reviewed,direct_ui,candidate_privacy_portal_export_button_calls_exportCandidateData_callable_with_region_fallback,aggregates_curriculum_applications_consents_candidateNotes_and_dataRequests_for_portability_package,medium,keep,active_candidate_data_portability_export_flow
compliance,grantAiConsent,functions/src/callable/compliance/aiConsentCallables.ts,14,reviewed,direct_ui,job_offer_apply_ai_consent_dialog_calls_consent_repository_saveConsent_to_grantAiConsent,writes_consentRecords_hash_and_ttl_used_by_interview_and_knockout_consent_validations,low,keep,active_ai_consent_registration_flow
compliance,processDataRequest,functions/src/callable/compliance/complianceCallables.ts,138,reviewed,direct_ui,company_consent_management_manage_request_action_calls_data_request_repository_updateRequestStatus,updates_dataRequests_status_response_processedBy_and_processorRole_for_company_or_recruiter_auditability,medium,keep,active_company_side_arsulipo_request_processing_flow
compliance,submitDataRequest,functions/src/callable/compliance/complianceCallables.ts,19,reviewed,direct_ui,candidate_privacy_portal_dialogs_submit_requests_via_data_requests_cubit_and_repository,writes_dataRequests_pending_with_dueAt_and_enforces_application_context_for_ai_and_salary_requests,low,keep,active_candidate_arsulipo_request_submission_flow
compliance,submitSalaryGapJustification,functions/src/callable/compliance/salaryGapCallables.ts,84,reviewed,direct_ui,company_offer_card_salary_gap_dialog_calls_submitSalaryGapJustification_callable,unblocks_jobOffers_status_to_active_and_persists_salary_gap_justification_audit_fields,low,keep,active_salary_gap_unblock_flow_for_blocked_offers
compliance,upsertSalaryBenchmark,functions/src/callable/compliance/salaryGapCallables.ts,10,reviewed,direct_ui,consent_management_salary_benchmarks_tab_submits_upsert_salary_benchmark_callable_through_salary_benchmark_repository,writes_salaryBenchmarks_rows_consumed_by_onJobOfferCreate_salary_gap_audit_and_visible_in_company_compliance_table,low,keep,active_company_recruiter_benchmark_maintenance_flow_with_role_gating
evaluations,requestApproval,functions/src/callable/evaluations/requestApproval.ts,30,reviewed,no_evidence,none_in_flutter_httpsCallable_search,evaluations_repository_requests_approval_via_firestore_direct_and_module_not_wired_in_di_routes,high,deprecate_or_wire_ui,callable_security_logic_bypassed_by_current_client_write_pattern
evaluations,submitEvaluation,functions/src/callable/evaluations/submitEvaluation.ts,23,reviewed,no_evidence,none_in_flutter_httpsCallable_search,evaluations_repository_submits_via_firestore_direct_and_module_not_wired_in_di_routes,high,deprecate_or_wire_ui,callable_security_logic_bypassed_by_current_client_write_pattern
interviews,cancelInterview,functions/src/callable/interviews/cancelInterview.ts,17,reviewed,direct_ui,interview_chat_appbar_actions_and_interview_list_tile_menu_expose_cancel_action_with_participant_visibility,updates_interviews_status_cancelled_and_writes_system_message_reflected_via_interview_streams_in_chat_and_lists,low,keep,active_interview_cancellation_flow_connected_to_callable_from_chat_and_listing
interviews,completeInterview,functions/src/callable/interviews/completeInterview.ts,17,reviewed,direct_ui,interview_chat_appbar_actions_and_interview_list_tile_menu_expose_complete_action_only_for_company_owner,updates_interviews_status_completed_and_writes_system_message_reflected_via_interview_streams_in_chat_and_lists,low,keep,active_interview_completion_flow_enforced_by_role_visibility_and_callable_permissions
interviews,markInterviewSeen,functions/src/callable/interviews/markInterviewSeen.ts,16,reviewed,direct_ui,interview_chat_route_initialization_calls_interview_session_cubit_markAsSeen,resets_interviews_unreadCounts_for_opening_user_when_chat_is_opened,low,keep,active_read_receipt_flow_from_route_bootstrap
interviews,proposeInterviewSlot,functions/src/callable/interviews/proposeInterviewSlot.ts,17,reviewed,direct_ui,interview_chat_input_calendar_action_to_session_cubit_proposeSlot_to_repository_callable,writes_proposal_message_and_updates_interview_lastMessage_used_by_chat_and_list_tiles,low,keep,active_slot_proposal_flow
interviews,respondInterviewSlot,functions/src/callable/interviews/respondInterviewSlot.ts,17,reviewed,direct_ui,proposal_bubble_accept_reject_buttons_to_session_cubit_respondToSlot_to_repository_callable,updates_interview_status_scheduled_or_rejection_and_syncs_calendar_events_on_accept,low,keep,active_slot_response_flow
interviews,sendInterviewMessage,functions/src/callable/interviews/sendInterviewMessage.ts,45,reviewed,direct_ui,interview_chat_send_action_to_session_cubit_sendMessage_to_repository_callable,appends_messages_and_updates_lastMessage_unreadCounts_consumed_by_chat_and_interview_lists,low,keep,active_interview_chat_messaging_flow
interviews,startInterview,functions/src/callable/interviews/startInterview.ts,69,reviewed,direct_ui,offer_applicants_start_interview_action_to_applicant_interaction_cubit_to_interview_repository_callable,creates_interviews_doc_and_sets_application_status_interview_then_navigates_to_chat,low,keep,active_company_initiated_interview_creation_flow
performance,reportWebVitalsBatch,functions/src/callable/performance/webVitalsCallables.ts,57,reviewed,direct_ui,web_vitals_telemetry_web_invokes_httpsCallable_reportWebVitalsBatch_and_main_starts_telemetry,writes_webVitalsEvents_aggregated_to_performanceDashboards_consumed_by_analytics_repository,low,keep,web_only_via_conditional_import_stub_on_non_web
recruiters,acceptInvitation,functions/src/callable/recruiters/acceptInvitation.ts,27,reviewed,direct_ui,recruiter_team_management_screen_accept_invitation_action_calls_recruiter_repository_callable,recruiter_repository_acceptInvitation_invokes_callable_and_refreshes_recruiter_session,low,keep,active_invitation_acceptance_flow_for_freelance_or_invited_recruiters
recruiters,createInvitation,functions/src/callable/recruiters/createInvitation.ts,46,reviewed,direct_ui,recruiter_team_management_screen_create_invitation_action_calls_recruiter_repository_callable,recruiter_repository_createInvitation_invokes_callable_and_returns_shareable_code,low,keep,active_team_invitation_generation_flow_for_admin
recruiters,registerRecruiterFreelance,functions/src/callable/recruiters/registerRecruiterFreelance.ts,31,reviewed,direct_ui,auth_service_registerRecruiter_calls_registerRecruiterFreelance,recruiter_register_screen_to_cubit_to_auth_repository_to_auth_service,low,keep,active_recruiter_signup_flow
recruiters,removeRecruiter,functions/src/callable/recruiters/removeRecruiter.ts,21,reviewed,direct_ui,recruiter_team_management_screen_member_disable_action_calls_recruiter_repository_callable,recruiter_repository_removeRecruiter_invokes_callable_and_stream_updates_member_list,low,keep,active_team_member_disable_flow_for_admin
recruiters,syncRecruiterClaims,functions/src/callable/recruiters/syncRecruiterClaims.ts,27,reviewed,no_evidence,none_in_flutter_httpsCallable_search,callable_used_as_backend_utility_not_invoked_from_ui,medium,keep_internal_or_wire_admin_ui,claims_sync_occurs_indirectly_via_other_callables
recruiters,updateRecruiterRole,functions/src/callable/recruiters/updateRecruiterRole.ts,29,reviewed,direct_ui,recruiter_team_management_screen_role_picker_calls_recruiter_repository_callable,recruiter_repository_updateRecruiterRole_invokes_callable_and_stream_reflects_role_change,low,keep,active_team_role_management_flow_for_admin
talent,addToPool,functions/src/callable/talent/addToPool.ts,4,reviewed,direct_ui,talent_pool_detail_screen_add_member_action_calls_talent_pool_detail_cubit_to_repository_callable,firebase_talent_pool_repository_addMemberToPool_invokes_addToPool_and_uses_consent_required_contract,low,keep,active_talent_pool_member_addition_flow_with_server_side_consent_check
talent,requestConsent,functions/src/callable/talent/requestConsent.ts,4,reviewed,direct_ui,talent_pool_detail_screen_add_member_flow_triggers_requestConsent_when_backend_reports_missing_consent,firebase_talent_pool_repository_calls_requestConsent_after_addToPool_when_consentRequired_true,medium,keep,active_consent_request_dispatch_flow_linked_to_pool_addition
